sample_id,metabarcoding_id,plant,sample,plant_block,day,treatment,treatment_bag_number,empty_bag_g,prey_mass_g,delta_prey_percent,chitinase_uM_min,cumulative_chit,protease_nM_min,cumulative_prot,flow_cyt_livingevents_uL,flow_cyt_totalevents_uL,pH,dna_con_ug_ml
P05_28,exp4_5_DAY28,P05,5,1,28,water,NA,NA,NA,NA,0.000148836,NA,4.923428946,NA,420.5,1914.5,4,NA
P06_28,exp4_6_DAY28,P06,6,1,28,lm,NA,NA,NA,NA,0.004960762,NA,142.5717488,NA,1934,2901,3,NA
P07_28,exp4_7_DAY28,P07,7,1,28,fly,NA,NA,NA,NA,0.002566738,NA,215.1310025,NA,1187,3440,5,NA
P08_28,exp4_8_DAY28,P08,8,2,28,fly,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
P09_28,exp4_9_DAY28,P09,9,2,28,ant,NA,NA,NA,NA,0.000473017,NA,64.41468634,NA,5127.5,6099.5,3.5,NA
P10_28,exp4_10_DAY28,P10,10,2,28,cb,NA,NA,NA,NA,0.000631574,NA,33.0366026,NA,3101,4195.5,4,NA
P11_28,exp4_11_DAY28,P11,11,2,28,lm,NA,NA,NA,NA,0.000740795,NA,147.7259061,NA,1442.5,2931.5,4.5,NA
P12_28,exp4_12_DAY28,P12,12,2,28,pos,NA,NA,NA,NA,0.019149106,NA,214.4238624,NA,3111.5,3684.5,5.5,NA
P13_28,exp4_13_DAY28,P13,13,2,28,beetle,NA,NA,NA,NA,0.001485725,NA,120.5615341,NA,3928.5,7433,4.5,NA
P14_28,exp4_14_DAY28,P14,14,2,28,water,NA,NA,NA,NA,0.000151918,NA,11.05102654,NA,371.5,934,4.5,NA
P15_28,exp4_15_DAY28,P15,15,3,28,lm,NA,NA,NA,NA,0.000875499,NA,87.91844656,NA,3399.5,5115,3.5,NA
P16_28,exp4_16_DAY28,P16,16,3,28,cb,NA,NA,NA,NA,0.000272339,NA,165.7710209,NA,2017,2816,4,NA
P17_28,exp4_17_DAY28,P17,17,3,28,water,NA,NA,NA,NA,0.000202482,NA,12.94273375,NA,1074,4425,4.5,NA
P18_28,exp4_18_DAY28,P18,18,3,28,pos,NA,NA,NA,NA,0.004268601,NA,592.6275468,NA,796,1122,4.5,NA
P19_28,exp4_19_DAY28,P19,19,3,28,fly,NA,NA,NA,NA,0.001796727,NA,122.029621,NA,2362.5,3112,4.5,NA
P20_28,exp4_20_DAY28,P20,20,3,28,beetle,NA,NA,NA,NA,0.001124736,NA,48.50840681,NA,2128,3907.5,4.5,NA
P21_28,exp4_21_DAY28,P21,21,3,28,ant,NA,NA,NA,NA,0.000565701,NA,180.1493546,NA,2670.5,3286.5,3.5,NA
P22_28,exp4_22_DAY28,P22,22,4,28,beetle,NA,NA,NA,NA,0.002889992,NA,122.7134501,NA,2549.5,3168,4,NA
P23_28,exp4_23_DAY28,P23,23,4,28,lm,NA,NA,NA,NA,0.001854357,NA,104.4111721,NA,4171.5,5021.5,3,NA
P24_28,exp4_24_DAY28,P24,24,4,28,cb,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
P25_28,exp4_25_DAY28,P25,25,4,28,fly,NA,NA,NA,NA,0.004570206,NA,245.5719987,NA,1930.5,2534,4.5,NA
P26_28,exp4_26_DAY28,P26,26,4,28,pos,NA,NA,NA,NA,0.006424613,NA,782.5474616,NA,961,1183,8,NA
P27_28,exp4_27_DAY28,P27,27,4,28,water,NA,NA,NA,NA,0.000152744,NA,20.84923195,NA,1740.5,5667.5,4.5,NA
P28_28,exp4_28_DAY28,P28,28,4,28,ant,NA,NA,NA,NA,0.001123183,NA,91.84750607,NA,2506.5,3933,4,NA
P29_28,exp4_29_DAY28,P29,29,5,28,beetle,NA,NA,NA,NA,0.000340919,NA,35.65840954,NA,1830.5,3941,4,NA
P30_28,exp4_30_DAY28,P30,30,5,28,ant,NA,NA,NA,NA,0.000566953,NA,61.32607321,NA,2682.5,4512.5,4,NA
P31_28,exp4_31_DAY28,P31,31,5,28,water,NA,NA,NA,NA,0.000195516,NA,6.710490352,NA,569.5,1583,4.5,NA
P32_28,exp4_32_DAY28,P32,32,5,28,lm,NA,NA,NA,NA,0.000352019,NA,26.84977079,NA,279,532.5,4,NA
P33_28,exp4_33_DAY28,P33,33,5,28,pos,NA,NA,NA,NA,0.003625651,NA,722.449688,NA,923,1080,6.5,NA
P34_28,exp4_34_DAY28,P34,34,5,28,cb,NA,NA,NA,NA,0.000599176,NA,26.18226332,NA,5822,7323,4,NA
P35_28,exp4_35_DAY28,P35,35,5,28,fly,NA,NA,NA,NA,0.001274975,NA,94.93182404,NA,1122.5,2890.5,4.5,NA
P01_35,exp4_1_DAY35,P01,1,1,35,ant,NA,NA,NA,NA,0.001763401,NA,153.1264133,NA,1576.5,2259.5,3.5,4.4085
P02_35,exp4_2_DAY35,P02,2,1,35,pos,NA,NA,NA,NA,0.001747281,NA,613.8964263,NA,958.5,1309.5,5,26.8035
P03_35,exp4_3_DAY35,P03,3,1,35,beetle,NA,NA,NA,NA,0.002258326,NA,137.2255337,NA,2678,3876.5,4.5,3.4235
P04_35,exp4_4_DAY35,P04,4,1,35,cb,NA,NA,NA,NA,0.002372358,NA,104.7699858,NA,3556,6167,4,2.166
P05_35,exp4_5_DAY35,P05,5,1,35,water,NA,NA,NA,NA,0.000321662,NA,7.373798032,NA,656,1491.5,4,0.186
P06_35,exp4_6_DAY35,P06,6,1,35,lm,NA,NA,NA,NA,0.002241522,NA,140.3759678,NA,2697,3657,3.5,8.306
P07_35,exp4_7_DAY35,P07,7,1,35,fly,NA,NA,NA,NA,0.002132993,NA,304.5330768,NA,1348,3522,5,12
P08_35,exp4_8_DAY35,P08,8,2,35,fly,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
P09_35,exp4_9_DAY35,P09,9,2,35,ant,NA,NA,NA,NA,0.000471151,NA,76.81107577,NA,4274,6201.5,4,7.22
P10_35,exp4_10_DAY35,P10,10,2,35,cb,NA,NA,NA,NA,0.001027088,NA,88.5216694,NA,3306.5,4521.5,4,6.87
P11_35,exp4_11_DAY35,P11,11,2,35,lm,NA,NA,NA,NA,0.000922841,NA,196.9697318,NA,1526.5,2277.5,4.5,22.5
P12_35,exp4_12_DAY35,P12,12,2,35,pos,NA,NA,NA,NA,0.004578753,NA,457.9128331,NA,1721,2529.5,5.5,50
P13_35,exp4_13_DAY35,P13,13,2,35,beetle,NA,NA,NA,NA,0.00158814,NA,92.66952346,NA,2300.5,4316,4,7.85
P14_35,exp4_14_DAY35,P14,14,2,35,water,NA,NA,NA,NA,0.000454271,NA,9.6347946,NA,288,2016.5,4,0.886
P15_35,exp4_15_DAY35,P15,15,3,35,lm,NA,NA,NA,NA,0.001283258,NA,90.28934954,NA,1371.5,3954.5,4,10.8
P16_35,exp4_16_DAY35,P16,16,3,35,cb,NA,NA,NA,NA,0.000597816,NA,181.8056142,NA,1105.5,2240,4,25
P17_35,exp4_17_DAY35,P17,17,3,35,water,NA,NA,NA,NA,0.000335191,NA,11.53204382,NA,791,6884.5,4,0.736
P18_35,exp4_18_DAY35,P18,18,3,35,pos,NA,NA,NA,NA,0.075634618,NA,678.6299237,NA,758,1267,8.5,TH
P19_35,exp4_19_DAY35,P19,19,3,35,fly,NA,NA,NA,NA,0.00136834,NA,33.63232085,NA,2289,4012,4,5.67
P20_35,exp4_20_DAY35,P20,20,3,35,beetle,NA,NA,NA,NA,0.000413376,NA,36.81465912,NA,1900.5,6465,4,3.37
P21_35,exp4_21_DAY35,P21,21,3,35,ant,NA,NA,NA,NA,0.001912474,NA,136.8659258,NA,2599,3359.5,4,12.3
P22_35,exp4_22_DAY35,P22,22,4,35,beetle,NA,NA,NA,NA,0.001892924,NA,79.01931056,NA,2356.5,3895.5,4,6.6
P23_35,exp4_23_DAY35,P23,23,4,35,lm,NA,NA,NA,NA,0.001803771,NA,88.96462119,NA,2425,3876.5,4,10
P24_35,exp4_24_DAY35,P24,24,4,35,cb,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
P25_35,exp4_25_DAY35,P25,25,4,35,fly,NA,NA,NA,NA,0.00344465,NA,224.0303942,NA,1494.5,2230,4.5,18.616
P26_35,exp4_26_DAY35,P26,26,4,35,pos,NA,NA,NA,NA,0.031210084,NA,589.7957736,NA,793,1203.5,8.5,63.961
P27_35,exp4_27_DAY35,P27,27,4,35,water,NA,NA,NA,NA,0.000463541,NA,26.73437967,NA,1349,4405,4.5,0.2535
P28_35,exp4_28_DAY35,P28,28,4,35,ant,NA,NA,NA,NA,0.001460696,NA,85.68560654,NA,2078.5,3589,4,3.361
P29_35,exp4_29_DAY35,P29,29,5,35,beetle,NA,NA,NA,NA,0.00062821,NA,54.65437947,NA,3497,6254,3.5,1.156
P30_35,exp4_30_DAY35,P30,30,5,35,ant,NA,NA,NA,NA,0.001009656,NA,75.61455731,NA,2590.5,5934,4.5,2.5185
P31_35,exp4_31_DAY35,P31,31,5,35,water,NA,NA,NA,NA,0.000403671,NA,13.64082205,NA,915.5,2145,4.5,0.2735
P32_35,exp4_32_DAY35,P32,32,5,35,lm,NA,NA,NA,NA,0.001593554,NA,40.94591856,NA,818.5,2323,4,0.3535
P33_35,exp4_33_DAY35,P33,33,5,35,pos,NA,NA,NA,NA,0.009201618,NA,638.2017378,NA,878,1376,8.5,NA
P34_35,exp4_34_DAY35,P34,34,5,35,cb,NA,NA,NA,NA,0.000940087,NA,15.35981802,NA,3714,5944,4,1.286
P35_35,exp4_35_DAY35,P35,35,5,35,fly,NA,NA,NA,NA,0.001271161,NA,123.9689706,NA,662.5,1920,4,5.451
P01_42,exp4_1_DAY42,P01,1,1,42,ant,NA,NA,NA,NA,0.000613312,NA,147.1365936,NA,1923,2596.5,3,NA
P02_42,exp4_2_DAY42,P02,2,1,42,pos,NA,NA,NA,NA,0.000858112,NA,608.4057935,NA,910.5,1271,4,NA
P03_42,exp4_3_DAY42,P03,3,1,42,beetle,NA,NA,NA,NA,0.002021554,NA,301.4587427,NA,2031,2521.5,4.5,NA
P04_42,exp4_4_DAY42,P04,4,1,42,cb,NA,NA,NA,NA,0.000517219,NA,41.92085053,NA,3701,6484.5,4,NA
P05_42,exp4_5_DAY42,P05,5,1,42,water,NA,NA,NA,NA,0.000181144,NA,6.412073426,NA,392,1063.5,3.5,NA
P06_42,exp4_6_DAY42,P06,6,1,42,lm,NA,NA,NA,NA,0.00036227,NA,89.92713041,NA,2797.5,3868,3,NA
P07_42,exp4_7_DAY42,P07,7,1,42,fly,NA,NA,NA,NA,0.001266168,NA,186.8004929,NA,1621,3282,4.5,NA
P08_42,exp4_8_DAY42,P08,8,2,42,fly,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
P09_42,exp4_9_DAY42,P09,9,2,42,ant,NA,NA,NA,NA,0.000176716,NA,22.60553809,NA,1954.5,4320,4,NA
P10_42,exp4_10_DAY42,P10,10,2,42,cb,NA,NA,NA,NA,0.000738502,NA,59.3061014,NA,3604.5,6157,4,NA
P11_42,exp4_11_DAY42,P11,11,2,42,lm,NA,NA,NA,NA,0.000345963,NA,75.73577815,NA,1224.5,1875,4.5,NA
P12_42,exp4_12_DAY42,P12,12,2,42,pos,NA,NA,NA,NA,0.0103863,NA,561.5474962,NA,2071.5,3993.5,5.5,NA
P13_42,exp4_13_DAY42,P13,13,2,42,beetle,NA,NA,NA,NA,0.000420251,NA,39.70225814,NA,2758,5275,3.5,NA
P14_42,exp4_14_DAY42,P14,14,2,42,water,NA,NA,NA,NA,0.000191386,NA,3.300869522,NA,324.5,790.5,4,NA
P15_42,exp4_15_DAY42,P15,15,3,42,lm,NA,NA,NA,NA,0.000644205,NA,36.04567859,NA,2628,6764,3.5,NA
P16_42,exp4_16_DAY42,P16,16,3,42,cb,NA,NA,NA,NA,-0.001563898,NA,127.961985,NA,1302.5,2625,3.5,NA
P17_42,exp4_17_DAY42,P17,17,3,42,water,NA,NA,NA,NA,0.000173563,NA,3.763632344,NA,754,5955.5,4,NA
P18_42,exp4_18_DAY42,P18,18,3,42,pos,NA,NA,NA,NA,0.024536302,NA,610.8173266,NA,554,1184.5,8.5,NA
P19_42,exp4_19_DAY42,P19,19,3,42,fly,NA,NA,NA,NA,0.00044894,NA,18.84870145,NA,1645,5589.5,3,NA
P20_42,exp4_20_DAY42,P20,20,3,42,beetle,NA,NA,NA,NA,0.000191609,NA,34.12028395,NA,2715.5,5706.5,4.5,NA
P21_42,exp4_21_DAY42,P21,21,3,42,ant,NA,NA,NA,NA,0.000953116,NA,130.7861319,NA,3926.5,5746,3.5,NA
P22_42,exp4_22_DAY42,P22,22,4,42,beetle,NA,NA,NA,NA,0.000834112,NA,58.92206229,NA,3212,5808.5,4,NA
P23_42,exp4_23_DAY42,P23,23,4,42,lm,NA,NA,NA,NA,0.001961098,NA,74.79080697,NA,2010,3188,4.5,NA
P24_42,exp4_24_DAY42,P24,24,4,42,cb,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
P25_42,exp4_25_DAY42,P25,25,4,42,fly,NA,NA,NA,NA,0.002403786,NA,195.9125074,NA,1617,2501,4.5,NA
P26_42,exp4_26_DAY42,P26,26,4,42,pos,NA,NA,NA,NA,0.00238187,NA,756.4326652,NA,821,1238.5,6.5,NA
P27_42,exp4_27_DAY42,P27,27,4,42,water,NA,NA,NA,NA,0.000187349,NA,15.58258826,NA,2590,5863.5,4,NA
P28_42,exp4_28_DAY42,P28,28,4,42,ant,NA,NA,NA,NA,0.000367795,NA,62.05942556,NA,5186.5,7619,3.5,NA
P29_42,exp4_29_DAY42,P29,29,5,42,beetle,NA,NA,NA,NA,0.000260726,NA,57.86954706,NA,4522,6553,4,NA
P30_42,exp4_30_DAY42,P30,30,5,42,ant,NA,NA,NA,NA,0.000600735,NA,84.24084627,NA,2627.5,5303.5,3.5,NA
P31_42,exp4_31_DAY42,P31,31,5,42,water,NA,NA,NA,NA,0.000192419,NA,7.335634047,NA,894,2048,4.5,NA
P32_42,exp4_32_DAY42,P32,32,5,42,lm,NA,NA,NA,NA,0.000751628,NA,28.20961879,NA,977.5,2335.5,4,NA
P33_42,exp4_33_DAY42,P33,33,5,42,pos,NA,NA,NA,NA,0.008017034,NA,867.282865,NA,827.5,1302,8,NA
P34_42,exp4_34_DAY42,P34,34,5,42,cb,NA,NA,NA,NA,0.000847302,NA,19.72657529,NA,1860,3023,4,NA
P35_42,exp4_35_DAY42,P35,35,5,42,fly,NA,NA,NA,NA,0.000515544,NA,129.5638878,NA,692.5,2472,4.5,NA
P01_49,exp4_1_DAY49,P01,1,1,49,ant,NA,NA,0.0439,NA,0.00072422,0.01211508,126.0978666,1009.110469,1665.5,2570,2.5,NA
P02_49,exp4_2_DAY49,P02,2,1,49,pos,NA,NA,NA,NA,0.003439671,0.162415578,NA,2267.839327,NA,NA,NA,NA
P03_49,exp4_3_DAY49,P03,3,1,49,beetle,NA,NA,0.0442,NA,0.000755009,0.013795408,370.1200929,1394.659977,2777.5,5227.5,NA,NA
P04_49,exp4_4_DAY49,P04,4,1,49,cb,NA,NA,0.0379,NA,0.000275434,0.014885777,38.18326716,985.0037988,2255,5825.5,3.5,NA
P05_49,exp4_5_DAY49,P05,5,1,49,water,NA,NA,NA,NA,0.001015687,0.002530224,2.80714299,43.76713538,157.5,869,3.5,NA
P06_49,exp4_6_DAY49,P06,6,1,49,lm,NA,NA,0.0385,NA,0.001113913,0.02278769,132.0190359,1165.266464,2103,3558,3,NA
P07_49,exp4_7_DAY49,P07,7,1,49,fly,NA,NA,0.0355,NA,NA,0.008257011,170.585804,1686.570425,1203,2869.5,4.5,NA
P08_49,exp4_8_DAY49,P08,8,2,49,fly,NA,NA,NA,NA,NA,0.010686095,NA,848.869322,NA,NA,NA,NA
P09_49,exp4_9_DAY49,P09,9,2,49,ant,NA,NA,0.0436,NA,0.000434995,0.009685928,29.52223829,1130.870384,1478,3310,3.5,NA
P10_49,exp4_10_DAY49,P10,10,2,49,cb,NA,NA,0.0379,NA,0.000650691,0.004324276,47.12651897,1106.108023,3934,6523,4,NA
P11_49,exp4_11_DAY49,P11,11,2,49,lm,NA,NA,0.0265,NA,0.000513955,0.011535178,93.66614203,1895.231832,1808,2698,4.5,NA
P12_49,exp4_12_DAY49,P12,12,2,49,pos,NA,NA,NA,NA,0.020063798,0.065223567,430.0757788,2796.703797,134,1318,4.5,NA
P13_49,exp4_13_DAY49,P13,13,2,49,beetle,NA,NA,0.0453,NA,0.000404598,0.007816844,41.84955566,921.7281953,1921,5753,3.5,NA
P14_49,exp4_14_DAY49,P14,14,2,49,water,NA,NA,NA,NA,0.000558383,0.001666895,6.477372896,97.14929898,205.5,1366,4,NA
P15_49,exp4_15_DAY49,P15,15,3,49,lm,NA,NA,0.0325,NA,0.000705455,0.006215777,73.84587524,1292.625197,1241.5,3014.5,3,NA
P16_49,exp4_16_DAY49,P16,16,3,49,cb,NA,NA,0.0307,NA,0.000656001,0.02985175,155.5245925,2188.951266,639,2354,3.5,NA
P17_49,exp4_17_DAY49,P17,17,3,49,water,NA,NA,NA,NA,0.000204328,0.005653725,10.9593583,124.735284,564,6367,4,NA
P18_49,exp4_18_DAY49,P18,18,3,49,pos,NA,NA,NA,NA,0.008155638,0.117684846,358.9436646,2954.862308,340,1211,6.5,NA
P19_49,exp4_19_DAY49,P19,19,3,49,fly,NA,NA,0.0338,NA,0.000471683,0.015976128,21.49239283,930.2511316,2730.5,6178,3.5,NA
P20_49,exp4_20_DAY49,P20,20,3,49,beetle,NA,NA,0.0441,NA,0.000302433,0.023988893,26.51088812,786.2977905,1837.5,6645.5,4,NA
P21_49,exp4_21_DAY49,P21,21,3,49,ant,NA,NA,0.0419,NA,0.002881419,0.011164819,114.5493754,1578.888017,2669.5,4517.5,2.5,NA
P22_49,exp4_22_DAY49,P22,22,4,49,beetle,NA,NA,0.0437,NA,0.00095152,0.017266762,64.69005409,912.3610609,2122.5,4742.5,3.5,NA
P23_49,exp4_23_DAY49,P23,23,4,49,lm,NA,NA,0.031,NA,0.002163316,0.009405796,95.6767492,543.2188309,1538.5,2794.5,4.5,NA
P24_49,exp4_24_DAY49,P24,24,4,49,cb,NA,NA,0.0357,NA,NA,0.004940394,NA,610.8596691,NA,NA,NA,NA
P25_49,exp4_25_DAY49,P25,25,4,49,fly,NA,NA,0.0339,NA,0.002490979,0.022508252,178.2506838,2019.27357,1305.5,2584,4.5,NA
P26_49,exp4_26_DAY49,P26,26,4,49,pos,NA,NA,NA,NA,0.007631464,0.056568111,432.8849857,3410.704802,463.5,1165,7,NA
P27_49,exp4_27_DAY49,P27,27,4,49,water,NA,NA,NA,NA,0.000239443,0.001332294,13.27294734,101.9983652,1258,6739,3.5,NA
P28_49,exp4_28_DAY49,P28,28,4,49,ant,NA,NA,0.0445,NA,0.000464178,0.006560032,70.72805399,606.2651117,2703.5,5314,3.5,NA
P29_49,exp4_29_DAY49,P29,29,5,49,beetle,NA,NA,0.0423,NA,0.000359782,0.010789068,73.90419733,902.0548471,3055,5464,4,NA
P30_49,exp4_30_DAY49,P30,30,5,49,ant,NA,NA,0.0445,NA,0.000445055,0.007102653,69.88507354,871.9407234,1607.5,4325.5,4.5,NA
P31_49,exp4_31_DAY49,P31,31,5,49,water,NA,NA,NA,NA,0.000237139,0.001288425,22.2051872,85.12702895,1354.5,3853.5,4.5,NA
P32_49,exp4_32_DAY49,P32,32,5,49,lm,NA,NA,0.0336,NA,0.000817528,0.006589079,42.38598566,491.1149741,1344.5,4072,4.5,NA
P33_49,exp4_33_DAY49,P33,33,5,49,pos,NA,NA,NA,NA,0.004534888,0.034590313,455.2856317,3400.025758,681,1147,5,NA
P34_49,exp4_34_DAY49,P34,34,5,49,cb,NA,NA,0.036,NA,0.001203125,0.009309266,37.08924876,731.8954561,4243,6981,4.5,NA
P35_49,exp4_35_DAY49,P35,35,5,49,fly,NA,NA,0.0339,NA,0.000583457,0.015384192,58.97776571,1618.569806,NA,NA,4.5,NA
NEG1,neg1,NEG,NEG,NEG,NEG,NEG,NEG,NEG,NEG,NA,NEG,NA,NEG,NA,NEG,NEG,NEG,0.056
NEG2,neg2,NEG,NEG,NEG,NEG,NEG,NEG,NEG,NEG,NA,NEG,NA,NEG,NA,NEG,NEG,NEG,0.056