sample_id,metabarcoding_id,plant,sample,plant_block,day,treatment
P01_0,exp4_1_DAY0,P01,1,1,0,ant
P02_0,exp4_2_DAY0,P02,2,1,0,pos
P03_0,exp4_3_DAY0,P03,3,1,0,beetle
P04_0,exp4_4_DAY0,P04,4,1,0,cb
P05_0,exp4_5_DAY0,P05,5,1,0,water
P06_0,exp4_6_DAY0,P06,6,1,0,lm
P07_0,exp4_7_DAY0,P07,7,1,0,fly
P08_0,exp4_8_DAY0,P08,8,2,0,fly
P09_0,exp4_9_DAY0,P09,9,2,0,ant
P10_0,exp4_10_DAY0,P10,10,2,0,cb
P11_0,exp4_11_DAY0,P11,11,2,0,lm
P12_0,exp4_12_DAY0,P12,12,2,0,pos
P13_0,exp4_13_DAY0,P13,13,2,0,beetle
P14_0,exp4_14_DAY0,P14,14,2,0,water
P15_0,exp4_15_DAY0,P15,15,3,0,lm
P16_0,exp4_16_DAY0,P16,16,3,0,cb
P17_0,exp4_17_DAY0,P17,17,3,0,water
P18_0,exp4_18_DAY0,P18,18,3,0,pos
P19_0,exp4_19_DAY0,P19,19,3,0,fly
P20_0,exp4_20_DAY0,P20,20,3,0,beetle
P21_0,exp4_21_DAY0,P21,21,3,0,ant
P22_0,exp4_22_DAY0,P22,22,4,0,beetle
P23_0,exp4_23_DAY0,P23,23,4,0,lm
P24_0,exp4_24_DAY0,P24,24,4,0,cb
P25_0,exp4_25_DAY0,P25,25,4,0,fly
P26_0,exp4_26_DAY0,P26,26,4,0,pos
P27_0,exp4_27_DAY0,P27,27,4,0,water
P28_0,exp4_28_DAY0,P28,28,4,0,ant
P29_0,exp4_29_DAY0,P29,29,5,0,beetle
P30_0,exp4_30_DAY0,P30,30,5,0,ant
P31_0,exp4_31_DAY0,P31,31,5,0,water
P32_0,exp4_32_DAY0,P32,32,5,0,lm
P33_0,exp4_33_DAY0,P33,33,5,0,pos
P34_0,exp4_34_DAY0,P34,34,5,0,cb
P35_0,exp4_35_DAY0,P35,35,5,0,fly
P01_7,exp4_1_DAY7,P01,1,1,7,ant
P02_7,exp4_2_DAY7,P02,2,1,7,pos
P03_7,exp4_3_DAY7,P03,3,1,7,beetle
P04_7,exp4_4_DAY7,P04,4,1,7,cb
P05_7,exp4_5_DAY7,P05,5,1,7,water
P06_7,exp4_6_DAY7,P06,6,1,7,lm
P07_7,exp4_7_DAY7,P07,7,1,7,fly
P08_7,exp4_8_DAY7,P08,8,2,7,fly
P09_7,exp4_9_DAY7,P09,9,2,7,ant
P10_7,exp4_10_DAY7,P10,10,2,7,cb
P11_7,exp4_11_DAY7,P11,11,2,7,lm
P12_7,exp4_12_DAY7,P12,12,2,7,pos
P13_7,exp4_13_DAY7,P13,13,2,7,beetle
P14_7,exp4_14_DAY7,P14,14,2,7,water
P15_7,exp4_15_DAY7,P15,15,3,7,lm
P16_7,exp4_16_DAY7,P16,16,3,7,cb
P17_7,exp4_17_DAY7,P17,17,3,7,water
P18_7,exp4_18_DAY7,P18,18,3,7,pos
P19_7,exp4_19_DAY7,P19,19,3,7,fly
P20_7,exp4_20_DAY7,P20,20,3,7,beetle
P21_7,exp4_21_DAY7,P21,21,3,7,ant
P22_7,exp4_22_DAY7,P22,22,4,7,beetle
P23_7,exp4_23_DAY7,P23,23,4,7,lm
P24_7,exp4_24_DAY7,P24,24,4,7,cb
P25_7,exp4_25_DAY7,P25,25,4,7,fly
P26_7,exp4_26_DAY7,P26,26,4,7,pos
P27_7,exp4_27_DAY7,P27,27,4,7,water
P28_7,exp4_28_DAY7,P28,28,4,7,ant
P29_7,exp4_29_DAY7,P29,29,5,7,beetle
P30_7,exp4_30_DAY7,P30,30,5,7,ant
P31_7,exp4_31_DAY7,P31,31,5,7,water
P32_7,exp4_32_DAY7,P32,32,5,7,lm
P33_7,exp4_33_DAY7,P33,33,5,7,pos
P34_7,exp4_34_DAY7,P34,34,5,7,cb
P35_7,exp4_35_DAY7,P35,35,5,7,fly
P01_14,exp4_1_DAY14,P01,1,1,14,ant
P02_14,exp4_2_DAY14,P02,2,1,14,pos
P03_14,exp4_3_DAY14,P03,3,1,14,beetle
P04_14,exp4_4_DAY14,P04,4,1,14,cb
P05_14,exp4_5_DAY14,P05,5,1,14,water
P06_14,exp4_6_DAY14,P06,6,1,14,lm
P07_14,exp4_7_DAY14,P07,7,1,14,fly
P08_14,exp4_8_DAY14,P08,8,2,14,fly
P09_14,exp4_9_DAY14,P09,9,2,14,ant
P10_14,exp4_10_DAY14,P10,10,2,14,cb
P11_14,exp4_11_DAY14,P11,11,2,14,lm
P12_14,exp4_12_DAY14,P12,12,2,14,pos
P13_14,exp4_13_DAY14,P13,13,2,14,beetle
P14_14,exp4_14_DAY14,P14,14,2,14,water
P15_14,exp4_15_DAY14,P15,15,3,14,lm
P16_14,exp4_16_DAY14,P16,16,3,14,cb
P17_14,exp4_17_DAY14,P17,17,3,14,water
P18_14,exp4_18_DAY14,P18,18,3,14,pos
P19_14,exp4_19_DAY14,P19,19,3,14,fly
P20_14,exp4_20_DAY14,P20,20,3,14,beetle
P21_14,exp4_21_DAY14,P21,21,3,14,ant
P22_14,exp4_22_DAY14,P22,22,4,14,beetle
P23_14,exp4_23_DAY14,P23,23,4,14,lm
P24_14,exp4_24_DAY14,P24,24,4,14,cb
P25_14,exp4_25_DAY14,P25,25,4,14,fly
P26_14,exp4_26_DAY14,P26,26,4,14,pos
P27_14,exp4_27_DAY14,P27,27,4,14,water
P28_14,exp4_28_DAY14,P28,28,4,14,ant
P29_14,exp4_29_DAY14,P29,29,5,14,beetle
P30_14,exp4_30_DAY14,P30,30,5,14,ant
P31_14,exp4_31_DAY14,P31,31,5,14,water
P32_14,exp4_32_DAY14,P32,32,5,14,lm
P33_14,exp4_33_DAY14,P33,33,5,14,pos
P34_14,exp4_34_DAY14,P34,34,5,14,cb
P35_14,exp4_35_DAY14,P35,35,5,14,fly
P01_21,exp4_1_DAY21,P01,1,1,21,ant
P02_21,exp4_2_DAY21,P02,2,1,21,pos
P03_21,exp4_3_DAY21,P03,3,1,21,beetle
P04_21,exp4_4_DAY21,P04,4,1,21,cb
P05_21,exp4_5_DAY21,P05,5,1,21,water
P06_21,exp4_6_DAY21,P06,6,1,21,lm
P07_21,exp4_7_DAY21,P07,7,1,21,fly
P08_21,exp4_8_DAY21,P08,8,2,21,fly
P09_21,exp4_9_DAY21,P09,9,2,21,ant
P10_21,exp4_10_DAY21,P10,10,2,21,cb
P11_21,exp4_11_DAY21,P11,11,2,21,lm
P12_21,exp4_12_DAY21,P12,12,2,21,pos
P13_21,exp4_13_DAY21,P13,13,2,21,beetle
P14_21,exp4_14_DAY21,P14,14,2,21,water
P15_21,exp4_15_DAY21,P15,15,3,21,lm
P16_21,exp4_16_DAY21,P16,16,3,21,cb
P17_21,exp4_17_DAY21,P17,17,3,21,water
P18_21,exp4_18_DAY21,P18,18,3,21,pos
P19_21,exp4_19_DAY21,P19,19,3,21,fly
P20_21,exp4_20_DAY21,P20,20,3,21,beetle
P21_21,exp4_21_DAY21,P21,21,3,21,ant
P22_21,exp4_22_DAY21,P22,22,4,21,beetle
P23_21,exp4_23_DAY21,P23,23,4,21,lm
P24_21,exp4_24_DAY21,P24,24,4,21,cb
P25_21,exp4_25_DAY21,P25,25,4,21,fly
P26_21,exp4_26_DAY21,P26,26,4,21,pos
P27_21,exp4_27_DAY21,P27,27,4,21,water
P28_21,exp4_28_DAY21,P28,28,4,21,ant
P29_21,exp4_29_DAY21,P29,29,5,21,beetle
P30_21,exp4_30_DAY21,P30,30,5,21,ant
P31_21,exp4_31_DAY21,P31,31,5,21,water
P32_21,exp4_32_DAY21,P32,32,5,21,lm
P33_21,exp4_33_DAY21,P33,33,5,21,pos
P34_21,exp4_34_DAY21,P34,34,5,21,cb
P35_21,exp4_35_DAY21,P35,35,5,21,fly
P01_28,exp4_1_DAY28,P01,1,1,28,ant
P02_28,exp4_2_DAY28,P02,2,1,28,pos
P03_28,exp4_3_DAY28,P03,3,1,28,beetle
P04_28,exp4_4_DAY28,P04,4,1,28,cb
P05_28,exp4_5_DAY28,P05,5,1,28,water
P06_28,exp4_6_DAY28,P06,6,1,28,lm
P07_28,exp4_7_DAY28,P07,7,1,28,fly
P08_28,exp4_8_DAY28,P08,8,2,28,fly
P09_28,exp4_9_DAY28,P09,9,2,28,ant
P10_28,exp4_10_DAY28,P10,10,2,28,cb
P11_28,exp4_11_DAY28,P11,11,2,28,lm
P12_28,exp4_12_DAY28,P12,12,2,28,pos
P13_28,exp4_13_DAY28,P13,13,2,28,beetle
P14_28,exp4_14_DAY28,P14,14,2,28,water
P15_28,exp4_15_DAY28,P15,15,3,28,lm
P16_28,exp4_16_DAY28,P16,16,3,28,cb
P17_28,exp4_17_DAY28,P17,17,3,28,water
P18_28,exp4_18_DAY28,P18,18,3,28,pos
P19_28,exp4_19_DAY28,P19,19,3,28,fly
P20_28,exp4_20_DAY28,P20,20,3,28,beetle
P21_28,exp4_21_DAY28,P21,21,3,28,ant
P22_28,exp4_22_DAY28,P22,22,4,28,beetle
P23_28,exp4_23_DAY28,P23,23,4,28,lm
P24_28,exp4_24_DAY28,P24,24,4,28,cb
P25_28,exp4_25_DAY28,P25,25,4,28,fly
P26_28,exp4_26_DAY28,P26,26,4,28,pos
P27_28,exp4_27_DAY28,P27,27,4,28,water
P28_28,exp4_28_DAY28,P28,28,4,28,ant
P29_28,exp4_29_DAY28,P29,29,5,28,beetle
P30_28,exp4_30_DAY28,P30,30,5,28,ant
P31_28,exp4_31_DAY28,P31,31,5,28,water
P32_28,exp4_32_DAY28,P32,32,5,28,lm
P33_28,exp4_33_DAY28,P33,33,5,28,pos
P34_28,exp4_34_DAY28,P34,34,5,28,cb
P35_28,exp4_35_DAY28,P35,35,5,28,fly
P01_35,exp4_1_DAY35,P01,1,1,35,ant
P02_35,exp4_2_DAY35,P02,2,1,35,pos
P03_35,exp4_3_DAY35,P03,3,1,35,beetle
P04_35,exp4_4_DAY35,P04,4,1,35,cb
P05_35,exp4_5_DAY35,P05,5,1,35,water
P06_35,exp4_6_DAY35,P06,6,1,35,lm
P07_35,exp4_7_DAY35,P07,7,1,35,fly
P08_35,exp4_8_DAY35,P08,8,2,35,fly
P09_35,exp4_9_DAY35,P09,9,2,35,ant
P10_35,exp4_10_DAY35,P10,10,2,35,cb
P11_35,exp4_11_DAY35,P11,11,2,35,lm
P12_35,exp4_12_DAY35,P12,12,2,35,pos
P13_35,exp4_13_DAY35,P13,13,2,35,beetle
P14_35,exp4_14_DAY35,P14,14,2,35,water
P15_35,exp4_15_DAY35,P15,15,3,35,lm
P16_35,exp4_16_DAY35,P16,16,3,35,cb
P17_35,exp4_17_DAY35,P17,17,3,35,water
P18_35,exp4_18_DAY35,P18,18,3,35,pos
P19_35,exp4_19_DAY35,P19,19,3,35,fly
P20_35,exp4_20_DAY35,P20,20,3,35,beetle
P21_35,exp4_21_DAY35,P21,21,3,35,ant
P22_35,exp4_22_DAY35,P22,22,4,35,beetle
P23_35,exp4_23_DAY35,P23,23,4,35,lm
P24_35,exp4_24_DAY35,P24,24,4,35,cb
P25_35,exp4_25_DAY35,P25,25,4,35,fly
P26_35,exp4_26_DAY35,P26,26,4,35,pos
P27_35,exp4_27_DAY35,P27,27,4,35,water
P28_35,exp4_28_DAY35,P28,28,4,35,ant
P29_35,exp4_29_DAY35,P29,29,5,35,beetle
P30_35,exp4_30_DAY35,P30,30,5,35,ant
P31_35,exp4_31_DAY35,P31,31,5,35,water
P32_35,exp4_32_DAY35,P32,32,5,35,lm
P33_35,exp4_33_DAY35,P33,33,5,35,pos
P34_35,exp4_34_DAY35,P34,34,5,35,cb
P35_35,exp4_35_DAY35,P35,35,5,35,fly
P01_42,exp4_1_DAY42,P01,1,1,42,ant
P02_42,exp4_2_DAY42,P02,2,1,42,pos
P03_42,exp4_3_DAY42,P03,3,1,42,beetle
P04_42,exp4_4_DAY42,P04,4,1,42,cb
P05_42,exp4_5_DAY42,P05,5,1,42,water
P06_42,exp4_6_DAY42,P06,6,1,42,lm
P07_42,exp4_7_DAY42,P07,7,1,42,fly
P08_42,exp4_8_DAY42,P08,8,2,42,fly
P09_42,exp4_9_DAY42,P09,9,2,42,ant
P10_42,exp4_10_DAY42,P10,10,2,42,cb
P11_42,exp4_11_DAY42,P11,11,2,42,lm
P12_42,exp4_12_DAY42,P12,12,2,42,pos
P13_42,exp4_13_DAY42,P13,13,2,42,beetle
P14_42,exp4_14_DAY42,P14,14,2,42,water
P15_42,exp4_15_DAY42,P15,15,3,42,lm
P16_42,exp4_16_DAY42,P16,16,3,42,cb
P17_42,exp4_17_DAY42,P17,17,3,42,water
P18_42,exp4_18_DAY42,P18,18,3,42,pos
P19_42,exp4_19_DAY42,P19,19,3,42,fly
P20_42,exp4_20_DAY42,P20,20,3,42,beetle
P21_42,exp4_21_DAY42,P21,21,3,42,ant
P22_42,exp4_22_DAY42,P22,22,4,42,beetle
P23_42,exp4_23_DAY42,P23,23,4,42,lm
P24_42,exp4_24_DAY42,P24,24,4,42,cb
P25_42,exp4_25_DAY42,P25,25,4,42,fly
P26_42,exp4_26_DAY42,P26,26,4,42,pos
P27_42,exp4_27_DAY42,P27,27,4,42,water
P28_42,exp4_28_DAY42,P28,28,4,42,ant
P29_42,exp4_29_DAY42,P29,29,5,42,beetle
P30_42,exp4_30_DAY42,P30,30,5,42,ant
P31_42,exp4_31_DAY42,P31,31,5,42,water
P32_42,exp4_32_DAY42,P32,32,5,42,lm
P33_42,exp4_33_DAY42,P33,33,5,42,pos
P34_42,exp4_34_DAY42,P34,34,5,42,cb
P35_42,exp4_35_DAY42,P35,35,5,42,fly
P01_49,exp4_1_DAY49,P01,1,1,49,ant
P02_49,exp4_2_DAY49,P02,2,1,49,pos
P03_49,exp4_3_DAY49,P03,3,1,49,beetle
P04_49,exp4_4_DAY49,P04,4,1,49,cb
P05_49,exp4_5_DAY49,P05,5,1,49,water
P06_49,exp4_6_DAY49,P06,6,1,49,lm
P07_49,exp4_7_DAY49,P07,7,1,49,fly
P08_49,exp4_8_DAY49,P08,8,2,49,fly
P09_49,exp4_9_DAY49,P09,9,2,49,ant
P10_49,exp4_10_DAY49,P10,10,2,49,cb
P11_49,exp4_11_DAY49,P11,11,2,49,lm
P12_49,exp4_12_DAY49,P12,12,2,49,pos
P13_49,exp4_13_DAY49,P13,13,2,49,beetle
P14_49,exp4_14_DAY49,P14,14,2,49,water
P15_49,exp4_15_DAY49,P15,15,3,49,lm
P16_49,exp4_16_DAY49,P16,16,3,49,cb
P17_49,exp4_17_DAY49,P17,17,3,49,water
P18_49,exp4_18_DAY49,P18,18,3,49,pos
P19_49,exp4_19_DAY49,P19,19,3,49,fly
P20_49,exp4_20_DAY49,P20,20,3,49,beetle
P21_49,exp4_21_DAY49,P21,21,3,49,ant
P22_49,exp4_22_DAY49,P22,22,4,49,beetle
P23_49,exp4_23_DAY49,P23,23,4,49,lm
P24_49,exp4_24_DAY49,P24,24,4,49,cb
P25_49,exp4_25_DAY49,P25,25,4,49,fly
P26_49,exp4_26_DAY49,P26,26,4,49,pos
P27_49,exp4_27_DAY49,P27,27,4,49,water
P28_49,exp4_28_DAY49,P28,28,4,49,ant
P29_49,exp4_29_DAY49,P29,29,5,49,beetle
P30_49,exp4_30_DAY49,P30,30,5,49,ant
P31_49,exp4_31_DAY49,P31,31,5,49,water
P32_49,exp4_32_DAY49,P32,32,5,49,lm
P33_49,exp4_33_DAY49,P33,33,5,49,pos
P34_49,exp4_34_DAY49,P34,34,5,49,cb
P35_49,exp4_35_DAY49,P35,35,5,49,fly
NEG1,neg1,NEG,NEG,NEG,NEG,NEG
NEG2,neg2,NEG,NEG,NEG,NEG,NEG