"","taxon","lfc_(Intercept)","lfc_treatmentbeetle","lfc_treatmentfly","lfc_treatmentlm","lfc_treatmentcb","lfc_day","se_(Intercept)","se_treatmentbeetle","se_treatmentfly","se_treatmentlm","se_treatmentcb","se_day","W_(Intercept)","W_treatmentbeetle","W_treatmentfly","W_treatmentlm","W_treatmentcb","W_day","p_(Intercept)","p_treatmentbeetle","p_treatmentfly","p_treatmentlm","p_treatmentcb","p_day","q_(Intercept)","q_treatmentbeetle","q_treatmentfly","q_treatmentlm","q_treatmentcb","q_day","diff_(Intercept)","diff_treatmentbeetle","diff_treatmentfly","diff_treatmentlm","diff_treatmentcb","diff_day","passed_ss_(Intercept)","passed_ss_treatmentbeetle","passed_ss_treatmentfly","passed_ss_treatmentlm","passed_ss_treatmentcb","passed_ss_day"
"10","1c2003e39498b8caefe6e1f3a9f36476",0.0381620830641862,-0.418091466476326,3.16643233192339,0.585072434362567,0.027002963504115,-0.000236504175462871,0.632330453375843,0.891593535700495,0.865843292243194,0.903865323835602,0.883621999776711,0.0163735979325438,0.0603514868854553,-0.468926085413849,3.65705013862257,0.647300453877111,0.0305594060706259,-0.0144442398327616,0.952320204356582,0.642886808659078,0.00108835025612532,0.522903444477947,0.975845694833762,0.988581770591647,0.952320204356582,0.828319928266669,0.0272087564031329,0.909361322537596,0.975845694833762,0.988581770591647,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE
"11","026b68ad384fbb3f5bb0f6769b1b4fce",2.13592030409319,-1.64170909184982,-0.0316676467262428,0.512759559616643,0.428607818286681,-0.0771842782152185,0.604543700955725,0.858292856817418,0.816811035108394,0.81208799262209,0.796486459190036,0.0171262900310907,3.53311150329828,-1.91276098689361,-0.0387698566315775,0.631408867358119,0.538123170006608,-4.50677164027351,0.000919564858423907,0.0617550263647453,0.96923468137627,0.530768775455516,0.592978646279137,4.22526347721186e-05,0.00548472322252193,0.279576235983335,0.96923468137627,0.909361322537596,0.943149340680491,0.000130833011228506,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE
"12","90d281aaf588bad4be3327bfc03d6249",1.56326298539543,-0.683792929480144,0.591687830572211,-0.433991124708417,-0.308172969886917,-0.0450123743973968,0.57457234923272,0.794998442131524,0.759366290608983,0.783359374277035,0.734435095233302,0.0156695202214286,2.72074176121249,-0.860118577901587,0.779186326664172,-0.554012805564431,-0.419605451709823,-2.8726070588837,0.00888665863540049,0.393749061315582,0.439470724303284,0.581991246424062,0.67653606825285,0.00591873150119832,0.0246851628761125,0.807025819230792,0.944947614387854,0.909361322537596,0.943149340680491,0.010569163394997,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE
"14","cc761daf51f27c423da57f3f1f0ff5cc",1.54782780292065,-0.177397715782323,0.412050104186246,-0.0475507675121106,0.497022745803699,-0.0647034706810701,0.603281301433294,0.847889514328166,0.812882114198985,0.811379622569085,0.847229817019221,0.0150955067562647,2.56568171306367,-0.209222679116259,0.506900197444103,-0.0586048332857434,0.586644539438374,-4.28627350679816,0.0142552692468472,0.835363447504497,0.615079063922809,0.953566122094934,0.560823086285964,0.000115281730466459,0.035638173117118,0.83794114952557,0.944947614387854,0.972561048270162,0.943149340680491,0.000240170271805122,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
"15","63afe8e6aac58bf0d670a82ca5bc574c",2.00984742339138,-1.71098546849722,-1.15661629616298,0.162057510803875,-0.661913750112472,-0.0445084828460382,0.624673981000691,0.875189671141689,0.815713804662487,0.929449834336066,0.814355003269961,0.0187607532301873,3.21743418890558,-1.95498818703519,-1.41791923779142,0.174358534282421,-0.812807372036302,-2.37242515265438,0.00249276991326466,0.0572610897227344,0.163591465340525,0.862421458187829,0.42091214665497,0.0223277576319428,0.00902429373200272,0.279576235983335,0.511223329189141,0.972561048270162,0.943149340680491,0.0348871212999106,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE
"18","0e4b96294f2a2985a5d7fd8c87f7ce6d",1.93343656778542,0.186533587072377,0.124916203423916,0.795897938398872,0.427153712089602,-0.0888306720921448,0.618993778928188,0.904848595712626,0.866484529934887,0.86224064731839,0.867508679411893,0.0173645740775051,3.123515346363,0.206148949068623,0.144164378137602,0.923057780764747,0.492391283484542,-5.11562631456767,0.00370786151050709,0.83794114952557,0.886247491223659,0.362677316101764,0.625702859688565,1.31187298508513e-05,0.0115870672203346,0.83794114952557,0.963312490460499,0.909361322537596,0.943149340680491,5.46613743785469e-05,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE
"19","a894dd1ea1b8f48947a9e9ff688f06cc",2.74978995806286,-2.14442757496932,-0.252800866727732,0.701200983737668,1.01963774616524,-0.131085923325334,0.666609997439921,0.922280453062587,0.95778199238403,0.884095951587665,0.90309255257,0.0152310215146886,4.1250355809593,-2.32513609916419,-0.2639440590217,0.793127694430053,1.12905121768924,-8.60650897242296,0.000300249243704486,0.0275355456880903,0.793755996085797,0.434373124016167,0.268456925118963,2.36760671565191e-09,0.00548472322252193,0.279576235983335,0.944947614387854,0.909361322537596,0.943149340680491,2.95950839456488e-08,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
"21","f8aeec3c1ff0f4e7e1c829e4db0618d9",2.48097547608451,0.453580171659872,-2.06306487237,-1.40166622943671,-1.42417476296208,-0.0817332623456273,0.632546040730091,0.990268812629841,0.881968172867744,0.876489809674945,0.906798954883875,0.0161154253977961,3.92220536740842,0.458037419612667,-2.33916022804076,-1.59918143253318,-1.57055183543353,-5.0717409145653,0.000782354855309058,0.651629856176014,0.0292903034840878,0.124718409492929,0.131232831613422,5.06070212077304e-05,0.00548472322252193,0.828319928266669,0.366128793551097,0.851987402418845,0.820205197583889,0.000130833011228506,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
"22","b4289ab0a9a00034c1fbce477b2c4ded",1.29240882093245,3.54025985191142,1.05455307829981,0.383159667818621,2.6914690897561,-0.193207129032802,0.656170809560616,0.900483182643,0.923985560705018,0.878718120205454,0.940790189598221,0.0138888044308208,1.96962254660165,3.93151134874105,1.14130904545214,0.436043890535721,2.86086007221815,-13.9109978828742,0.0636371769921389,0.000895946421416801,0.267922558413654,0.66771900914042,0.0100016325607648,2.05646167877743e-11,0.106061961653565,0.02239866053542,0.669806396034136,0.927387512695028,0.250040814019121,5.14115419694358e-10,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
"23","38c27ceaed634984c1225a82648cf571",2.2813552701855,-1.60468147387564,0.472644054779148,1.08177788817361,-0.0931625107304388,-0.100930880498177,0.611608339413299,0.87077110165928,0.886295403891026,0.860738845129327,0.870928254220716,0.0139422864202178,3.73009183029444,-1.84282812190008,0.533280498470532,1.25680151917748,-0.106969213915098,-7.23919143934786,0.00109694464450439,0.0782813460753337,0.598955379728637,0.221439930096659,0.915740993426248,2.27897343095553e-07,0.00548472322252193,0.279576235983335,0.944947614387854,0.909361322537596,0.953896868152342,1.89914452579627e-06,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE
"24","0f18144d308ada95632ab5193d92073f",2.4217383989022,-0.554670599283209,1.30259898178663,-0.0314728182791486,-0.287761067164724,-0.110043991949447,0.763753085472613,0.954231577770084,0.893101534261555,0.910692311403962,1.03259198817003,0.0205415622621559,3.17083943091847,-0.581274621595947,1.45851163816851,-0.0345592225662131,-0.278678384552156,-5.35713839799728,0.00252680224496076,0.563519388318852,0.150600644127507,0.972561048270162,0.781576117098361,1.86615025801354e-06,0.00902429373200272,0.828319928266669,0.511223329189141,0.972561048270162,0.943149340680491,1.16634391125847e-05,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"25","6376ea6dab7d0fde3cd66f53b57e1484",2.35941353409188,-0.393263712571686,-1.29531123619471,-1.33818527227,-1.35639771312939,-0.0688335281885423,0.64452466810171,0.896298389760202,0.860862406227738,0.863281870478073,0.869401504265303,0.0149425153440801,3.6607032296234,-0.438764274336029,-1.5046669790945,-1.55011395238606,-1.56015109989444,-4.60655563026158,0.000822697825511024,0.663529038165591,0.141381360120278,0.130110370218795,0.127721819686689,5.23332044914024e-05,0.00548472322252193,0.828319928266669,0.511223329189141,0.851987402418845,0.820205197583889,0.000130833011228506,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
